央视,#genre#
重庆卫视,http://211.158.155.158:8009/udp/225.0.4.187:7980
重庆卫视,http://125.80.158.131:7788/rtp/235.254.196.249:1268
江苏卫视超,http://125.80.158.131:7788/rtp/235.254.198.64:1532
浙江卫视超,http://125.80.158.131:7788/rtp/235.254.198.63:1528
东方卫视超,http://125.80.158.131:7788/rtp/235.254.198.73:1568
深圳卫视,http://125.80.158.131:7788/rtp/235.254.198.71:1560
北京卫视超,http://125.80.158.131:7788/rtp/235.254.198.66:1540
山东卫视,http://125.80.158.131:7788/rtp/235.254.198.69:1552
天津卫视超,http://125.80.158.131:7788/rtp/235.254.198.67:1544
贵州卫视超,http://125.80.158.131:7788/rtp/235.254.198.185:7980
四川卫视超,http://125.80.158.131:7788/rtp/235.254.198.175:7980
云南卫视,http://125.80.158.131:7788/rtp/235.254.198.25:1376
广西卫视,http://125.80.158.131:7788/rtp/235.254.198.38:1428
黑龙江卫视超,http://125.80.158.131:7788/rtp/235.254.198.70:1556
安徽卫视超,http://125.80.158.131:7788/rtp/235.254.198.65:1536
山西卫视,http://125.80.158.131:7788/rtp/235.254.198.41:1440
江西卫视,http://125.80.158.131:7788/rtp/235.254.198.29:1392
湖北卫视,http://125.80.158.131:7788/rtp/235.254.198.72:1564
旅游卫视,http://125.80.158.131:7788/rtp/235.254.198.44:1452
陕西卫视,http://125.80.158.131:7788/rtp/235.254.198.40:1436
东南卫视超,http://125.80.158.131:7788/rtp/235.254.198.129:7980
吉林卫视,http://125.80.158.131:7788/rtp/235.254.198.39:1432
辽宁卫视,http://125.80.158.131:7788/rtp/235.254.198.68:1548
